id,longitude,latitude,easting,northing,sg_bdod,sg_cec,sg_cfvo,sg_clay,sg_nitrogen,sg_ocd,sg_phh2o,sg_sand,sg_silt,sg_soc
30,-73.89,-13.180000000000007,620289.3604658497,8542692.916376159,1.2241584062576294,23.35708236694336,22.03839683532715,32.31930923461914,2.871001720428467,22.989421844482422,6.2120280265808105,37.15503692626953,30.44510269165039,21.604887008666992
31,-73.95,-12.889999999999997,613919.1494852559,8574795.833564088,1.1903506517410278,23.442535400390625,26.180496215820313,26.115270614624023,4.381818771362305,26.43099594116211,6.143672943115234,37.64298629760742,36.29369354248047,31.03829002380371
32,-73.85,-13.080000000000002,624675.0656697298,8553734.16445104,1.2252397537231445,22.045991897583008,21.6960391998291,30.797056198120117,3.8215184211730957,25.313608169555664,6.133438587188721,36.30405044555664,32.8968620300293,25.11090087890625
33,-73.94,-12.879999999999999,615008.7689106446,8575897.400256613,1.2009061574935913,25.559492111206055,29.20876121520996,25.130699157714844,5.545660495758057,26.170764923095703,6.305019378662109,37.90082931518555,37.011199951171875,28.320659637451172
34,-73.93,-13.170000000000005,615958.8541103868,8543817.77485602,1.2093210220336914,22.63894271850586,22.126964569091797,26.929807662963867,4.174562454223633,24.405860900878906,6.127949237823486,40.36362838745117,32.72772216796875,26.384262084960938
35,-73.9,-12.870000000000008,619353.9293190059,8576985.197244098,1.1754941940307617,24.170196533203125,19.163272857666016,23.460359573364258,5.155930995941162,32.09071731567383,6.121484756469727,41.9390869140625,34.600555419921875,46.56690979003906
36,-74.04,-12.879999999999995,604157.916433861,8575940.042287286,1.2137115001678467,23.261493682861328,26.21055030822754,26.268234252929688,5.359020709991455,27.78158950805664,6.262435436248779,40.22576904296875,33.546260833740234,27.86253547668457
37,-74,-12.899999999999999,608489.6079047455,8573711.480889577,1.2459324598312378,25.488712310791016,22.145143508911133,25.097848892211914,4.283501625061035,26.029216766357422,6.55623197555542,40.50232696533203,34.39982604980469,32.05575942993164
38,-73.88,-13.059999999999992,621432.0732883702,8555960.867500309,1.207700252532959,21.620027542114258,20.63300323486328,29.30077362060547,2.981210470199585,23.635059356689453,6.394155502319336,38.333805084228516,32.365421295166016,22.381452560424805
39,-73.96,-13.020000000000003,612775.5806277483,8560421.943111276,1.3223962783813477,25.44745635986328,24.343475341796875,26.36726188659668,1.8446197509765625,19.6778564453125,6.873053073883057,38.649139404296875,34.97977828979492,18.51380157470703
